Date,Type,Subgroup,Continued claims
12/28/2019,Continued claims by industry,Administrative and support services,6324
01/04/2020,Continued claims by industry,Administrative and support services,6650
01/11/2020,Continued claims by industry,Administrative and support services,6864
01/18/2020,Continued claims by industry,Administrative and support services,7064
01/25/2020,Continued claims by industry,Administrative and support services,7145
02/01/2020,Continued claims by industry,Administrative and support services,7059
02/08/2020,Continued claims by industry,Administrative and support services,7131
02/15/2020,Continued claims by industry,Administrative and support services,7191
02/22/2020,Continued claims by industry,Administrative and support services,7141
02/29/2020,Continued claims by industry,Administrative and support services,7032
03/07/2020,Continued claims by industry,Administrative and support services,6815
03/14/2020,Continued claims by industry,Administrative and support services,6630
03/21/2020,Continued claims by industry,Administrative and support services,9122
03/28/2020,Continued claims by industry,Administrative and support services,12215
04/04/2020,Continued claims by industry,Administrative and support services,15296
04/11/2020,Continued claims by industry,Administrative and support services,16802
04/18/2020,Continued claims by industry,Administrative and support services,17667
04/25/2020,Continued claims by industry,Administrative and support services,18035
05/02/2020,Continued claims by industry,Administrative and support services,18697
05/09/2020,Continued claims by industry,Administrative and support services,18685
05/16/2020,Continued claims by industry,Administrative and support services,18618
05/23/2020,Continued claims by industry,Administrative and support services,18814
05/30/2020,Continued claims by industry,Administrative and support services,18879
06/06/2020,Continued claims by industry,Administrative and support services,18909
06/13/2020,Continued claims by industry,Administrative and support services,18897
06/20/2020,Continued claims by industry,Administrative and support services,18837
06/27/2020,Continued claims by industry,Administrative and support services,18937
07/04/2020,Continued claims by industry,Administrative and support services,18868
07/11/2020,Continued claims by industry,Administrative and support services,19135
07/18/2020,Continued claims by industry,Administrative and support services,19029
07/25/2020,Continued claims by industry,Administrative and support services,18792
08/01/2020,Continued claims by industry,Administrative and support services,18300
08/08/2020,Continued claims by industry,Administrative and support services,17897
08/15/2020,Continued claims by industry,Administrative and support services,17558
08/22/2020,Continued claims by industry,Administrative and support services,17002
08/29/2020,Continued claims by industry,Administrative and support services,16595
09/05/2020,Continued claims by industry,Administrative and support services,16167
09/12/2020,Continued claims by industry,Administrative and support services,15749
09/19/2020,Continued claims by industry,Administrative and support services,15270
09/26/2020,Continued claims by industry,Administrative and support services,14734
10/03/2020,Continued claims by industry,Administrative and support services,14372
10/10/2020,Continued claims by industry,Administrative and support services,14102
10/17/2020,Continued claims by industry,Administrative and support services,13842
10/24/2020,Continued claims by industry,Administrative and support services,13569
10/31/2020,Continued claims by industry,Administrative and support services,13352
11/07/2020,Continued claims by industry,Administrative and support services,13161
11/14/2020,Continued claims by industry,Administrative and support services,12933
11/21/2020,Continued claims by industry,Administrative and support services,12857
11/28/2020,Continued claims by industry,Administrative and support services,12831
12/05/2020,Continued claims by industry,Administrative and support services,13047
12/12/2020,Continued claims by industry,Administrative and support services,13437
12/19/2020,Continued claims by industry,Administrative and support services,13869
12/26/2020,Continued claims by industry,Administrative and support services,14628
01/02/2021,Continued claims by industry,Administrative and support services,15845
01/09/2021,Continued claims by industry,Administrative and support services,16522
01/16/2021,Continued claims by industry,Administrative and support services,17032
01/23/2021,Continued claims by industry,Administrative and support services,17249
01/30/2021,Continued claims by industry,Administrative and support services,17419
02/06/2021,Continued claims by industry,Administrative and support services,17504
02/13/2021,Continued claims by industry,Administrative and support services,17559
02/20/2021,Continued claims by industry,Administrative and support services,17550
02/27/2021,Continued claims by industry,Administrative and support services,17516
03/06/2021,Continued claims by industry,Administrative and support services,17393
03/13/2021,Continued claims by industry,Administrative and support services,17144
03/20/2021,Continued claims by industry,Administrative and support services,16772
03/27/2021,Continued claims by industry,Administrative and support services,15942
04/03/2021,Continued claims by industry,Administrative and support services,15175
04/10/2021,Continued claims by industry,Administrative and support services,14817
04/17/2021,Continued claims by industry,Administrative and support services,14441
04/24/2021,Continued claims by industry,Administrative and support services,14030
05/01/2021,Continued claims by industry,Administrative and support services,13786
05/08/2021,Continued claims by industry,Administrative and support services,13666
05/15/2021,Continued claims by industry,Administrative and support services,13476
05/22/2021,Continued claims by industry,Administrative and support services,13282
05/29/2021,Continued claims by industry,Administrative and support services,13062
06/05/2021,Continued claims by industry,Administrative and support services,12757
06/12/2021,Continued claims by industry,Administrative and support services,12605
06/19/2021,Continued claims by industry,Administrative and support services,12483
06/26/2021,Continued claims by industry,Administrative and support services,12380
07/03/2021,Continued claims by industry,Administrative and support services,12159
07/10/2021,Continued claims by industry,Administrative and support services,11124
07/17/2021,Continued claims by industry,Administrative and support services,10585
07/24/2021,Continued claims by industry,Administrative and support services,10195
07/31/2021,Continued claims by industry,Administrative and support services,9953
08/07/2021,Continued claims by industry,Administrative and support services,9809
08/14/2021,Continued claims by industry,Administrative and support services,9686
08/21/2021,Continued claims by industry,Administrative and support services,9476
08/28/2021,Continued claims by industry,Administrative and support services,9209
09/04/2021,Continued claims by industry,Administrative and support services,8574
09/11/2021,Continued claims by industry,Administrative and support services,6386
09/18/2021,Continued claims by industry,Administrative and support services,5308
09/25/2021,Continued claims by industry,Administrative and support services,5084
10/02/2021,Continued claims by industry,Administrative and support services,4815
10/09/2021,Continued claims by industry,Administrative and support services,4630
10/16/2021,Continued claims by industry,Administrative and support services,4487
10/23/2021,Continued claims by industry,Administrative and support services,4399
10/30/2021,Continued claims by industry,Administrative and support services,4350
11/06/2021,Continued claims by industry,Administrative and support services,4330
11/13/2021,Continued claims by industry,Administrative and support services,4284
11/20/2021,Continued claims by industry,Administrative and support services,4320
11/27/2021,Continued claims by industry,Administrative and support services,4444
12/04/2021,Continued claims by industry,Administrative and support services,4501
12/11/2021,Continued claims by industry,Administrative and support services,3447
12/18/2021,Continued claims by industry,Administrative and support services,3808
12/25/2021,Continued claims by industry,Administrative and support services,4331
01/01/2022,Continued claims by industry,Administrative and support services,4871
01/08/2022,Continued claims by industry,Administrative and support services,5070
01/15/2022,Continued claims by industry,Administrative and support services,4843
01/22/2022,Continued claims by industry,Administrative and support services,4949
01/29/2022,Continued claims by industry,Administrative and support services,4948
02/05/2022,Continued claims by industry,Administrative and support services,5006
02/12/2022,Continued claims by industry,Administrative and support services,4887
02/19/2022,Continued claims by industry,Administrative and support services,4845
02/26/2022,Continued claims by industry,Administrative and support services,4792
03/05/2022,Continued claims by industry,Administrative and support services,4655
03/12/2022,Continued claims by industry,Administrative and support services,4424
03/19/2022,Continued claims by industry,Administrative and support services,3949
03/26/2022,Continued claims by industry,Administrative and support services,3380
04/02/2022,Continued claims by industry,Administrative and support services,2916
04/09/2022,Continued claims by industry,Administrative and support services,2324
04/16/2022,Continued claims by industry,Administrative and support services,1940
01/05/2019,Continued claims by industry,Educational services,1510
01/12/2019,Continued claims by industry,Educational services,1391
01/19/2019,Continued claims by industry,Educational services,1340
01/26/2019,Continued claims by industry,Educational services,1329
02/02/2019,Continued claims by industry,Educational services,1292
02/09/2019,Continued claims by industry,Educational services,1275
02/16/2019,Continued claims by industry,Educational services,1286
02/23/2019,Continued claims by industry,Educational services,1270
03/02/2019,Continued claims by industry,Educational services,1200
03/09/2019,Continued claims by industry,Educational services,1196
03/16/2019,Continued claims by industry,Educational services,1181
03/23/2019,Continued claims by industry,Educational services,1142
03/30/2019,Continued claims by industry,Educational services,1075
04/06/2019,Continued claims by industry,Educational services,1043
04/13/2019,Continued claims by industry,Educational services,1144
04/20/2019,Continued claims by industry,Educational services,1303
04/27/2019,Continued claims by industry,Educational services,1014
05/04/2019,Continued claims by industry,Educational services,991
05/11/2019,Continued claims by industry,Educational services,972
05/18/2019,Continued claims by industry,Educational services,976
05/25/2019,Continued claims by industry,Educational services,964
06/01/2019,Continued claims by industry,Educational services,952
06/08/2019,Continued claims by industry,Educational services,979
06/15/2019,Continued claims by industry,Educational services,1153
06/22/2019,Continued claims by industry,Educational services,1634
06/29/2019,Continued claims by industry,Educational services,1825
07/06/2019,Continued claims by industry,Educational services,1894
07/13/2019,Continued claims by industry,Educational services,1927
07/20/2019,Continued claims by industry,Educational services,1904
07/27/2019,Continued claims by industry,Educational services,1898
08/03/2019,Continued claims by industry,Educational services,1950
08/10/2019,Continued claims by industry,Educational services,1979
08/17/2019,Continued claims by industry,Educational services,1950
08/24/2019,Continued claims by industry,Educational services,1869
08/31/2019,Continued claims by industry,Educational services,1517
09/07/2019,Continued claims by industry,Educational services,1285
09/14/2019,Continued claims by industry,Educational services,1210
09/21/2019,Continued claims by industry,Educational services,1178
09/28/2019,Continued claims by industry,Educational services,1148
10/05/2019,Continued claims by industry,Educational services,1151
10/12/2019,Continued claims by industry,Educational services,1132
10/19/2019,Continued claims by industry,Educational services,1113
10/26/2019,Continued claims by industry,Educational services,1107
11/02/2019,Continued claims by industry,Educational services,1114
11/09/2019,Continued claims by industry,Educational services,1127
11/16/2019,Continued claims by industry,Educational services,1117
11/23/2019,Continued claims by industry,Educational services,1133
11/30/2019,Continued claims by industry,Educational services,1183
12/07/2019,Continued claims by industry,Educational services,1177
12/14/2019,Continued claims by industry,Educational services,1181
12/21/2019,Continued claims by industry,Educational services,1305
12/28/2019,Continued claims by industry,Educational services,1604
01/04/2020,Continued claims by industry,Educational services,1495
01/11/2020,Continued claims by industry,Educational services,1236
01/18/2020,Continued claims by industry,Educational services,1199
01/25/2020,Continued claims by industry,Educational services,1179
02/01/2020,Continued claims by industry,Educational services,1150
02/08/2020,Continued claims by industry,Educational services,1157
02/15/2020,Continued claims by industry,Educational services,1175
02/22/2020,Continued claims by industry,Educational services,1175
02/29/2020,Continued claims by industry,Educational services,1101
03/07/2020,Continued claims by industry,Educational services,1075
03/14/2020,Continued claims by industry,Educational services,1713
03/21/2020,Continued claims by industry,Educational services,8840
03/28/2020,Continued claims by industry,Educational services,11494
04/04/2020,Continued claims by industry,Educational services,12563
04/11/2020,Continued claims by industry,Educational services,13362
04/18/2020,Continued claims by industry,Educational services,13992
04/25/2020,Continued claims by industry,Educational services,14148
05/02/2020,Continued claims by industry,Educational services,14730
05/09/2020,Continued claims by industry,Educational services,14595
05/16/2020,Continued claims by industry,Educational services,14733
05/23/2020,Continued claims by industry,Educational services,14955
05/30/2020,Continued claims by industry,Educational services,15197
06/06/2020,Continued claims by industry,Educational services,15303
06/13/2020,Continued claims by industry,Educational services,15544
06/20/2020,Continued claims by industry,Educational services,16323
06/27/2020,Continued claims by industry,Educational services,16836
07/04/2020,Continued claims by industry,Educational services,17215
07/11/2020,Continued claims by industry,Educational services,17829
07/18/2020,Continued claims by industry,Educational services,17745
07/25/2020,Continued claims by industry,Educational services,17545
08/01/2020,Continued claims by industry,Educational services,17013
08/08/2020,Continued claims by industry,Educational services,16140
08/15/2020,Continued claims by industry,Educational services,15515
08/22/2020,Continued claims by industry,Educational services,14658
08/29/2020,Continued claims by industry,Educational services,13394
09/05/2020,Continued claims by industry,Educational services,11716
09/12/2020,Continued claims by industry,Educational services,10512
09/19/2020,Continued claims by industry,Educational services,9583
09/26/2020,Continued claims by industry,Educational services,9017
10/03/2020,Continued claims by industry,Educational services,8597
10/10/2020,Continued claims by industry,Educational services,8312
10/17/2020,Continued claims by industry,Educational services,8057
10/24/2020,Continued claims by industry,Educational services,7861
10/31/2020,Continued claims by industry,Educational services,7640
11/07/2020,Continued claims by industry,Educational services,7475
11/14/2020,Continued claims by industry,Educational services,7320
11/21/2020,Continued claims by industry,Educational services,7244
11/28/2020,Continued claims by industry,Educational services,7286
12/05/2020,Continued claims by industry,Educational services,7427
12/12/2020,Continued claims by industry,Educational services,7466
12/19/2020,Continued claims by industry,Educational services,7377
12/26/2020,Continued claims by industry,Educational services,7536
01/02/2021,Continued claims by industry,Educational services,7958
01/09/2021,Continued claims by industry,Educational services,7961
01/16/2021,Continued claims by industry,Educational services,7945
01/23/2021,Continued claims by industry,Educational services,7868
01/30/2021,Continued claims by industry,Educational services,7816
02/06/2021,Continued claims by industry,Educational services,7722
02/13/2021,Continued claims by industry,Educational services,7640
02/20/2021,Continued claims by industry,Educational services,7616
02/27/2021,Continued claims by industry,Educational services,7491
03/06/2021,Continued claims by industry,Educational services,7391
03/13/2021,Continued claims by industry,Educational services,7262
03/20/2021,Continued claims by industry,Educational services,7026
03/27/2021,Continued claims by industry,Educational services,6886
04/03/2021,Continued claims by industry,Educational services,6729
04/10/2021,Continued claims by industry,Educational services,6775
04/17/2021,Continued claims by industry,Educational services,6800
04/24/2021,Continued claims by industry,Educational services,6604
05/01/2021,Continued claims by industry,Educational services,6428
05/08/2021,Continued claims by industry,Educational services,6321
05/15/2021,Continued claims by industry,Educational services,6265
05/22/2021,Continued claims by industry,Educational services,6190
05/29/2021,Continued claims by industry,Educational services,6093
06/05/2021,Continued claims by industry,Educational services,5903
06/12/2021,Continued claims by industry,Educational services,5892
06/19/2021,Continued claims by industry,Educational services,6143
06/26/2021,Continued claims by industry,Educational services,6470
07/03/2021,Continued claims by industry,Educational services,6445
07/10/2021,Continued claims by industry,Educational services,5884
07/17/2021,Continued claims by industry,Educational services,5617
07/24/2021,Continued claims by industry,Educational services,5453
07/31/2021,Continued claims by industry,Educational services,5336
08/07/2021,Continued claims by industry,Educational services,5270
08/14/2021,Continued claims by industry,Educational services,5191
08/21/2021,Continued claims by industry,Educational services,4987
08/28/2021,Continued claims by industry,Educational services,4612
09/04/2021,Continued claims by industry,Educational services,3877
09/11/2021,Continued claims by industry,Educational services,2677
09/18/2021,Continued claims by industry,Educational services,2198
09/25/2021,Continued claims by industry,Educational services,2060
10/02/2021,Continued claims by industry,Educational services,1963
10/09/2021,Continued claims by industry,Educational services,1878
10/16/2021,Continued claims by industry,Educational services,1809
10/23/2021,Continued claims by industry,Educational services,1732
10/30/2021,Continued claims by industry,Educational services,1689
11/06/2021,Continued claims by industry,Educational services,1659
11/13/2021,Continued claims by industry,Educational services,1636
11/20/2021,Continued claims by industry,Educational services,1620
11/27/2021,Continued claims by industry,Educational services,1631
12/04/2021,Continued claims by industry,Educational services,1592
12/11/2021,Continued claims by industry,Educational services,1171
12/18/2021,Continued claims by industry,Educational services,1174
12/25/2021,Continued claims by industry,Educational services,1283
01/01/2022,Continued claims by industry,Educational services,1396
01/08/2022,Continued claims by industry,Educational services,1219
01/15/2022,Continued claims by industry,Educational services,963
01/22/2022,Continued claims by industry,Educational services,933
01/29/2022,Continued claims by industry,Educational services,884
02/05/2022,Continued claims by industry,Educational services,865
02/12/2022,Continued claims by industry,Educational services,837
02/19/2022,Continued claims by industry,Educational services,834
02/26/2022,Continued claims by industry,Educational services,844
03/05/2022,Continued claims by industry,Educational services,781
03/12/2022,Continued claims by industry,Educational services,725
03/19/2022,Continued claims by industry,Educational services,697
03/26/2022,Continued claims by industry,Educational services,661
04/02/2022,Continued claims by industry,Educational services,628
04/09/2022,Continued claims by industry,Educational services,626
04/16/2022,Continued claims by industry,Educational services,678
01/05/2019,Continued claims by industry,Health care and social assistance,3733
01/12/2019,Continued claims by industry,Health care and social assistance,3684
01/19/2019,Continued claims by industry,Health care and social assistance,3694
01/26/2019,Continued claims by industry,Health care and social assistance,3676
02/02/2019,Continued claims by industry,Health care and social assistance,3673
02/09/2019,Continued claims by industry,Health care and social assistance,3679
02/16/2019,Continued claims by industry,Health care and social assistance,3673
02/23/2019,Continued claims by industry,Health care and social assistance,3663
03/02/2019,Continued claims by industry,Health care and social assistance,3589
03/09/2019,Continued claims by industry,Health care and social assistance,3577
03/16/2019,Continued claims by industry,Health care and social assistance,3576
03/23/2019,Continued claims by industry,Health care and social assistance,3524
03/30/2019,Continued claims by industry,Health care and social assistance,3477
04/06/2019,Continued claims by industry,Health care and social assistance,3461
04/13/2019,Continued claims by industry,Health care and social assistance,3587
04/20/2019,Continued claims by industry,Health care and social assistance,3680
04/27/2019,Continued claims by industry,Health care and social assistance,3484
05/04/2019,Continued claims by industry,Health care and social assistance,3468
05/11/2019,Continued claims by industry,Health care and social assistance,3448
05/18/2019,Continued claims by industry,Health care and social assistance,3459
05/25/2019,Continued claims by industry,Health care and social assistance,3488
06/01/2019,Continued claims by industry,Health care and social assistance,3450
06/08/2019,Continued claims by industry,Health care and social assistance,3507
06/15/2019,Continued claims by industry,Health care and social assistance,3583
06/22/2019,Continued claims by industry,Health care and social assistance,3915
06/29/2019,Continued claims by industry,Health care and social assistance,4021
07/06/2019,Continued claims by industry,Health care and social assistance,4021
07/13/2019,Continued claims by industry,Health care and social assistance,4012
07/20/2019,Continued claims by industry,Health care and social assistance,4009
07/27/2019,Continued claims by industry,Health care and social assistance,4007
08/03/2019,Continued claims by industry,Health care and social assistance,4036
08/10/2019,Continued claims by industry,Health care and social assistance,4045
08/17/2019,Continued claims by industry,Health care and social assistance,4140
08/24/2019,Continued claims by industry,Health care and social assistance,4011
08/31/2019,Continued claims by industry,Health care and social assistance,3701
09/07/2019,Continued claims by industry,Health care and social assistance,3477
09/14/2019,Continued claims by industry,Health care and social assistance,3476
09/21/2019,Continued claims by industry,Health care and social assistance,3423
09/28/2019,Continued claims by industry,Health care and social assistance,3365
10/05/2019,Continued claims by industry,Health care and social assistance,3359
10/12/2019,Continued claims by industry,Health care and social assistance,3354
10/19/2019,Continued claims by industry,Health care and social assistance,3367
10/26/2019,Continued claims by industry,Health care and social assistance,3354
11/02/2019,Continued claims by industry,Health care and social assistance,3346
11/09/2019,Continued claims by industry,Health care and social assistance,3322
11/16/2019,Continued claims by industry,Health care and social assistance,3285
11/23/2019,Continued claims by industry,Health care and social assistance,3258
11/30/2019,Continued claims by industry,Health care and social assistance,3230
12/07/2019,Continued claims by industry,Health care and social assistance,3163
12/14/2019,Continued claims by industry,Health care and social assistance,3114
12/21/2019,Continued claims by industry,Health care and social assistance,3183
12/28/2019,Continued claims by industry,Health care and social assistance,3416
01/04/2020,Continued claims by industry,Health care and social assistance,3311
01/11/2020,Continued claims by industry,Health care and social assistance,3175
01/18/2020,Continued claims by industry,Health care and social assistance,3182
01/25/2020,Continued claims by industry,Health care and social assistance,3217
02/01/2020,Continued claims by industry,Health care and social assistance,3173
02/08/2020,Continued claims by industry,Health care and social assistance,3150
02/15/2020,Continued claims by industry,Health care and social assistance,3105
02/22/2020,Continued claims by industry,Health care and social assistance,3099
02/29/2020,Continued claims by industry,Health care and social assistance,3036
03/07/2020,Continued claims by industry,Health care and social assistance,3063
03/14/2020,Continued claims by industry,Health care and social assistance,3683
03/21/2020,Continued claims by industry,Health care and social assistance,15053
03/28/2020,Continued claims by industry,Health care and social assistance,25462
04/04/2020,Continued claims by industry,Health care and social assistance,34026
04/11/2020,Continued claims by industry,Health care and social assistance,38842
04/18/2020,Continued claims by industry,Health care and social assistance,41560
04/25/2020,Continued claims by industry,Health care and social assistance,42510
05/02/2020,Continued claims by industry,Health care and social assistance,43424
05/09/2020,Continued claims by industry,Health care and social assistance,42053
05/16/2020,Continued claims by industry,Health care and social assistance,40824
05/23/2020,Continued claims by industry,Health care and social assistance,39383
05/30/2020,Continued claims by industry,Health care and social assistance,37927
06/06/2020,Continued claims by industry,Health care and social assistance,36356
06/13/2020,Continued claims by industry,Health care and social assistance,35350
06/20/2020,Continued claims by industry,Health care and social assistance,34743
06/27/2020,Continued claims by industry,Health care and social assistance,34163
07/04/2020,Continued claims by industry,Health care and social assistance,33370
07/11/2020,Continued claims by industry,Health care and social assistance,33059
07/18/2020,Continued claims by industry,Health care and social assistance,32243
07/25/2020,Continued claims by industry,Health care and social assistance,31538
08/01/2020,Continued claims by industry,Health care and social assistance,30178
08/08/2020,Continued claims by industry,Health care and social assistance,28775
08/15/2020,Continued claims by industry,Health care and social assistance,27720
08/22/2020,Continued claims by industry,Health care and social assistance,26823
08/29/2020,Continued claims by industry,Health care and social assistance,25737
09/05/2020,Continued claims by industry,Health care and social assistance,24729
09/12/2020,Continued claims by industry,Health care and social assistance,23856
09/19/2020,Continued claims by industry,Health care and social assistance,23039
09/26/2020,Continued claims by industry,Health care and social assistance,22217
10/03/2020,Continued claims by industry,Health care and social assistance,21542
10/10/2020,Continued claims by industry,Health care and social assistance,21024
10/17/2020,Continued claims by industry,Health care and social assistance,20540
10/24/2020,Continued claims by industry,Health care and social assistance,20110
10/31/2020,Continued claims by industry,Health care and social assistance,19747
11/07/2020,Continued claims by industry,Health care and social assistance,19283
11/14/2020,Continued claims by industry,Health care and social assistance,18905
11/21/2020,Continued claims by industry,Health care and social assistance,18493
11/28/2020,Continued claims by industry,Health care and social assistance,18284
12/05/2020,Continued claims by industry,Health care and social assistance,18225
12/12/2020,Continued claims by industry,Health care and social assistance,18127
12/19/2020,Continued claims by industry,Health care and social assistance,17711
12/26/2020,Continued claims by industry,Health care and social assistance,17748
01/02/2021,Continued claims by industry,Health care and social assistance,18513
01/09/2021,Continued claims by industry,Health care and social assistance,18876
01/16/2021,Continued claims by industry,Health care and social assistance,19251
01/23/2021,Continued claims by industry,Health care and social assistance,19440
01/30/2021,Continued claims by industry,Health care and social assistance,19567
02/06/2021,Continued claims by industry,Health care and social assistance,19646
02/13/2021,Continued claims by industry,Health care and social assistance,19607
02/20/2021,Continued claims by industry,Health care and social assistance,19585
02/27/2021,Continued claims by industry,Health care and social assistance,19565
03/06/2021,Continued claims by industry,Health care and social assistance,19466
03/13/2021,Continued claims by industry,Health care and social assistance,19459
03/20/2021,Continued claims by industry,Health care and social assistance,19243
03/27/2021,Continued claims by industry,Health care and social assistance,19137
04/03/2021,Continued claims by industry,Health care and social assistance,19019
04/10/2021,Continued claims by industry,Health care and social assistance,19135
04/17/2021,Continued claims by industry,Health care and social assistance,19085
04/24/2021,Continued claims by industry,Health care and social assistance,18886
05/01/2021,Continued claims by industry,Health care and social assistance,18830
05/08/2021,Continued claims by industry,Health care and social assistance,18677
05/15/2021,Continued claims by industry,Health care and social assistance,18601
05/22/2021,Continued claims by industry,Health care and social assistance,18458
05/29/2021,Continued claims by industry,Health care and social assistance,18176
06/05/2021,Continued claims by industry,Health care and social assistance,17705
06/12/2021,Continued claims by industry,Health care and social assistance,17491
06/19/2021,Continued claims by industry,Health care and social assistance,17450
06/26/2021,Continued claims by industry,Health care and social assistance,17401
07/03/2021,Continued claims by industry,Health care and social assistance,16999
07/10/2021,Continued claims by industry,Health care and social assistance,15709
07/17/2021,Continued claims by industry,Health care and social assistance,15005
07/24/2021,Continued claims by industry,Health care and social assistance,14535
07/31/2021,Continued claims by industry,Health care and social assistance,14324
08/07/2021,Continued claims by industry,Health care and social assistance,14133
08/14/2021,Continued claims by industry,Health care and social assistance,13900
08/21/2021,Continued claims by industry,Health care and social assistance,13687
08/28/2021,Continued claims by industry,Health care and social assistance,13272
09/04/2021,Continued claims by industry,Health care and social assistance,12405
09/11/2021,Continued claims by industry,Health care and social assistance,9779
09/18/2021,Continued claims by industry,Health care and social assistance,8468
09/25/2021,Continued claims by industry,Health care and social assistance,8049
10/02/2021,Continued claims by industry,Health care and social assistance,7756
10/09/2021,Continued claims by industry,Health care and social assistance,7531
10/16/2021,Continued claims by industry,Health care and social assistance,7323
10/23/2021,Continued claims by industry,Health care and social assistance,7104
10/30/2021,Continued claims by industry,Health care and social assistance,6903
11/06/2021,Continued claims by industry,Health care and social assistance,6801
11/13/2021,Continued claims by industry,Health care and social assistance,6649
11/20/2021,Continued claims by industry,Health care and social assistance,6462
11/27/2021,Continued claims by industry,Health care and social assistance,6397
12/04/2021,Continued claims by industry,Health care and social assistance,6247
12/11/2021,Continued claims by industry,Health care and social assistance,4350
12/18/2021,Continued claims by industry,Health care and social assistance,4106
12/25/2021,Continued claims by industry,Health care and social assistance,4049
01/01/2022,Continued claims by industry,Health care and social assistance,4067
01/08/2022,Continued claims by industry,Health care and social assistance,3780
01/15/2022,Continued claims by industry,Health care and social assistance,2971
01/22/2022,Continued claims by industry,Health care and social assistance,2891
01/29/2022,Continued claims by industry,Health care and social assistance,2843
02/05/2022,Continued claims by industry,Health care and social assistance,2816
02/12/2022,Continued claims by industry,Health care and social assistance,2739
02/19/2022,Continued claims by industry,Health care and social assistance,2699
02/26/2022,Continued claims by industry,Health care and social assistance,2648
03/05/2022,Continued claims by industry,Health care and social assistance,2542
03/12/2022,Continued claims by industry,Health care and social assistance,2418
03/19/2022,Continued claims by industry,Health care and social assistance,2347
03/26/2022,Continued claims by industry,Health care and social assistance,2286
04/02/2022,Continued claims by industry,Health care and social assistance,2219
04/09/2022,Continued claims by industry,Health care and social assistance,2202
04/16/2022,Continued claims by industry,Health care and social assistance,2179
01/05/2019,Continued claims by industry,"Arts, entertainment, and recreation",1407
01/12/2019,Continued claims by industry,"Arts, entertainment, and recreation",1525
01/19/2019,Continued claims by industry,"Arts, entertainment, and recreation",1548
01/26/2019,Continued claims by industry,"Arts, entertainment, and recreation",1568
02/02/2019,Continued claims by industry,"Arts, entertainment, and recreation",1586
02/09/2019,Continued claims by industry,"Arts, entertainment, and recreation",1582
02/16/2019,Continued claims by industry,"Arts, entertainment, and recreation",1582
02/23/2019,Continued claims by industry,"Arts, entertainment, and recreation",1586
03/02/2019,Continued claims by industry,"Arts, entertainment, and recreation",1533
03/09/2019,Continued claims by industry,"Arts, entertainment, and recreation",1459
03/16/2019,Continued claims by industry,"Arts, entertainment, and recreation",1378
03/23/2019,Continued claims by industry,"Arts, entertainment, and recreation",1238
03/30/2019,Continued claims by industry,"Arts, entertainment, and recreation",1085
04/06/2019,Continued claims by industry,"Arts, entertainment, and recreation",851
04/13/2019,Continued claims by industry,"Arts, entertainment, and recreation",722
04/20/2019,Continued claims by industry,"Arts, entertainment, and recreation",656
04/27/2019,Continued claims by industry,"Arts, entertainment, and recreation",549
05/04/2019,Continued claims by industry,"Arts, entertainment, and recreation",494
05/11/2019,Continued claims by industry,"Arts, entertainment, and recreation",448
05/18/2019,Continued claims by industry,"Arts, entertainment, and recreation",425
05/25/2019,Continued claims by industry,"Arts, entertainment, and recreation",413
06/01/2019,Continued claims by industry,"Arts, entertainment, and recreation",401
06/08/2019,Continued claims by industry,"Arts, entertainment, and recreation",387
06/15/2019,Continued claims by industry,"Arts, entertainment, and recreation",392
06/22/2019,Continued claims by industry,"Arts, entertainment, and recreation",405
06/29/2019,Continued claims by industry,"Arts, entertainment, and recreation",413
07/06/2019,Continued claims by industry,"Arts, entertainment, and recreation",421
07/13/2019,Continued claims by industry,"Arts, entertainment, and recreation",393
07/20/2019,Continued claims by industry,"Arts, entertainment, and recreation",396
07/27/2019,Continued claims by industry,"Arts, entertainment, and recreation",398
08/03/2019,Continued claims by industry,"Arts, entertainment, and recreation",409
08/10/2019,Continued claims by industry,"Arts, entertainment, and recreation",402
08/17/2019,Continued claims by industry,"Arts, entertainment, and recreation",397
08/24/2019,Continued claims by industry,"Arts, entertainment, and recreation",398
08/31/2019,Continued claims by industry,"Arts, entertainment, and recreation",385
09/07/2019,Continued claims by industry,"Arts, entertainment, and recreation",367
09/14/2019,Continued claims by industry,"Arts, entertainment, and recreation",366
09/21/2019,Continued claims by industry,"Arts, entertainment, and recreation",357
09/28/2019,Continued claims by industry,"Arts, entertainment, and recreation",353
10/05/2019,Continued claims by industry,"Arts, entertainment, and recreation",346
10/12/2019,Continued claims by industry,"Arts, entertainment, and recreation",361
10/19/2019,Continued claims by industry,"Arts, entertainment, and recreation",381
10/26/2019,Continued claims by industry,"Arts, entertainment, and recreation",402
11/02/2019,Continued claims by industry,"Arts, entertainment, and recreation",472
11/09/2019,Continued claims by industry,"Arts, entertainment, and recreation",563
11/16/2019,Continued claims by industry,"Arts, entertainment, and recreation",658
11/23/2019,Continued claims by industry,"Arts, entertainment, and recreation",738
11/30/2019,Continued claims by industry,"Arts, entertainment, and recreation",816
12/07/2019,Continued claims by industry,"Arts, entertainment, and recreation",934
12/14/2019,Continued claims by industry,"Arts, entertainment, and recreation",1021
12/21/2019,Continued claims by industry,"Arts, entertainment, and recreation",1091
12/28/2019,Continued claims by industry,"Arts, entertainment, and recreation",1225
01/04/2020,Continued claims by industry,"Arts, entertainment, and recreation",1325
